model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,190.42,0.000034,4.053360,6849.534
MISC_3,224,96,96,1,184.49,0.000022,1.792180,6479.189
MISC_3,224,224,64,1,220.80,0.000029,2.481380,7818.157
MISC_3,224,384,96,1,556.31,0.000030,3.660730,9391.774
MISC_3,224,768,768,1,763.98,0.000346,8.090920,12831.892
MISC_3,512,96,512,1,445.41,0.000113,3.788450,10329.863
MISC_3,512,128,896,1,684.10,0.000172,5.833200,13164.044
MISC_3,512,192,512,1,606.04,0.000166,5.433380,12142.415
MISC_3,512,512,96,1,697.05,0.000072,4.563950,10775.022
MISC_3,512,512,2048,1,702.32,0.001529,12.165710,15365.247
MISC_3,512,896,4864,1,864.75,0.005161,12.156940,13656.326
MISC_3,512,1536,6144,1,896.27,0.010782,18.162430,17297.552
MISC_3,512,2048,2048,1,892.48,0.004812,13.202510,14831.775
MISC_3,512,2048,8192,1,899.90,0.019091,33.010760,19418.094
MISC_3,512,2560,2560,1,885.10,0.007582,15.593430,17522.485
MISC_3,512,2560,10240,1,900.22,0.029819,53.844030,20709.242
MISC_3,512,4864,896,1,899.36,0.004962,13.716760,15416.886
MISC_3,512,6144,1536,1,890.44,0.010853,19.251670,18334.924
MISC_3,512,8192,2048,1,896.64,0.019160,33.004990,19189.695
MISC_3,512,10240,2560,1,842.04,0.031879,53.597980,19490.175
