model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,181.01,0.000035,3.811650,6706.431
MISC_3,224,96,96,1,160.76,0.000026,2.448070,6958.236
MISC_3,224,224,64,1,285.22,0.000023,2.866040,7709.900
MISC_3,224,384,96,1,418.49,0.000039,4.460180,9093.336
MISC_3,224,768,768,1,573.56,0.000461,6.317560,10023.072
MISC_3,512,96,512,1,341.90,0.000147,5.092990,9554.267
MISC_3,512,128,896,1,521.30,0.000225,6.524970,11626.563
MISC_3,512,192,512,1,461.80,0.000218,5.838320,10397.080
MISC_3,512,512,96,1,534.07,0.000094,4.015840,9008.937
MISC_3,512,512,2048,1,531.63,0.002020,9.679820,11938.340
MISC_3,512,896,4864,1,639.36,0.006980,9.635450,10362.483
MISC_3,512,1536,6144,1,673.17,0.014355,17.427850,13005.625
MISC_3,512,2048,2048,1,668.18,0.006428,10.109760,11233.067
MISC_3,512,2048,8192,1,674.34,0.025476,31.611960,14112.581
MISC_3,512,2560,2560,1,664.20,0.010104,12.826860,12826.860
MISC_3,512,2560,10240,1,675.10,0.039762,50.955050,14986.779
MISC_3,512,4864,896,1,673.72,0.006624,10.390430,11544.922
MISC_3,512,6144,1536,1,668.38,0.014458,18.614760,13788.711
MISC_3,512,8192,2048,1,673.15,0.025522,31.520550,14009.133
MISC_3,512,10240,2560,1,633.15,0.042397,51.829420,14397.061
