model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,57.85,0.000111,5.321740,4459.496
MISC_3,224,96,96,1,51.41,0.000080,1.593270,4678.418
MISC_3,224,224,64,1,130.95,0.000049,1.405070,4790.561
MISC_3,224,384,96,1,182.72,0.000090,2.345110,5533.191
MISC_3,224,768,768,1,236.72,0.001116,4.484350,6664.057
MISC_3,512,96,512,1,216.86,0.000232,3.146790,6533.187
MISC_3,512,128,896,1,242.83,0.000484,3.575840,6481.331
MISC_3,512,192,512,1,229.66,0.000438,4.285720,6797.550
MISC_3,512,512,96,1,230.27,0.000219,3.428670,6122.517
MISC_3,512,512,2048,1,259.68,0.004135,5.394970,6502.831
MISC_3,512,896,4864,1,261.03,0.017097,9.989430,6615.922
MISC_3,512,1536,6144,1,260.82,0.037051,24.757720,7935.450
MISC_3,512,2048,2048,1,260.73,0.016473,10.310570,7065.255
MISC_3,512,2048,8192,1,261.37,0.065729,46.024070,8507.271
MISC_3,512,2560,2560,1,264.56,0.025366,15.451120,7023.236
MISC_3,512,2560,10240,1,261.57,0.102624,62.583490,7495.119
MISC_3,512,4864,896,1,262.60,0.016994,11.074760,7338.321
MISC_3,512,6144,1536,1,263.60,0.036661,22.315470,7198.539
MISC_3,512,8192,2048,1,261.21,0.065770,39.902920,7335.189
MISC_3,512,10240,2560,1,245.72,0.109246,74.333110,8371.014
