model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,122.90,0.000052,2.741290,4643.608
MISC_3,224,96,96,1,120.32,0.000034,1.444500,4883.825
MISC_3,224,224,64,1,195.47,0.000033,1.598580,5627.425
MISC_3,224,384,96,1,375.24,0.000044,2.111390,6982.358
MISC_3,224,768,768,1,764.67,0.000346,8.415750,12746.404
MISC_3,512,96,512,1,448.45,0.000112,4.418680,10593.916
MISC_3,512,128,896,1,687.69,0.000171,7.396980,14506.976
MISC_3,512,192,512,1,614.36,0.000164,8.256390,13533.799
MISC_3,512,512,96,1,689.63,0.000073,3.259330,9735.381
MISC_3,512,512,2048,1,705.43,0.001522,11.790740,15321.508
MISC_3,512,896,4864,1,866.74,0.005149,11.943920,13729.733
MISC_3,512,1536,6144,1,896.53,0.010779,18.167700,17302.571
MISC_3,512,2048,2048,1,894.99,0.004799,13.349310,14997.151
MISC_3,512,2048,8192,1,899.42,0.019101,32.957550,19386.794
MISC_3,512,2560,2560,1,885.30,0.007580,15.655940,17395.489
MISC_3,512,2560,10240,1,901.01,0.029793,53.044540,20639.857
MISC_3,512,4864,896,1,902.69,0.004944,13.331250,15325.475
MISC_3,512,6144,1536,1,890.39,0.010853,19.187050,18273.381
MISC_3,512,8192,2048,1,897.58,0.019140,32.617800,19186.941
MISC_3,512,10240,2560,1,842.89,0.031847,53.226990,19355.269
