model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,512,2560,2560,1,663.87,0.010109,13.547130,11888.932
MISC_3,512,512,96,1,530.62,0.000095,4.442320,9533.246
MISC_3,512,96,512,1,342.29,0.000147,3.869270,8585.564
MISC_3,512,10240,2560,1,633.95,0.042344,51.063880,14224.081
MISC_3,512,2560,10240,1,675.03,0.039766,50.160280,14884.400
