model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,102.31,0.000063,3.145400,4669.450
MISC_3,224,96,96,1,64.21,0.000064,0.896360,4481.800
MISC_3,224,224,64,1,95.21,0.000067,1.549630,4769.270
MISC_3,224,384,96,1,309.70,0.000053,1.870700,6197.858
MISC_3,224,768,768,1,765.08,0.000345,7.200220,11250.517
MISC_3,512,96,512,1,446.70,0.000113,3.257830,9825.378
MISC_3,512,128,896,1,684.41,0.000172,6.715940,13791.350
MISC_3,512,192,512,1,613.71,0.000164,6.938740,12468.090
MISC_3,512,512,96,1,692.61,0.000073,4.588610,10657.691
MISC_3,512,512,2048,1,705.50,0.001522,11.667650,15350.339
MISC_3,512,896,4864,1,867.16,0.005146,11.755580,13672.763
MISC_3,512,1536,6144,1,898.33,0.010757,18.291130,17420.124
MISC_3,512,2048,2048,1,895.58,0.004796,13.291250,14932.222
MISC_3,512,2048,8192,1,901.35,0.019060,33.448930,19675.841
MISC_3,512,2560,2560,1,887.06,0.007565,15.793690,17548.544
MISC_3,512,2560,10240,1,900.26,0.029818,53.140760,20758.529
MISC_3,512,4864,896,1,904.02,0.004937,13.861900,15571.971
MISC_3,512,6144,1536,1,891.15,0.010844,19.221190,18305.895
MISC_3,512,8192,2048,1,896.56,0.019162,32.507500,19122.059
MISC_3,512,10240,2560,1,842.38,0.031866,52.801970,19200.716
