model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,118.73,0.000054,3.832240,6967.346
MISC_3,224,96,96,1,131.57,0.000031,2.236650,6869.599
MISC_3,224,224,64,1,191.99,0.000033,2.299130,7551.337
MISC_3,224,384,96,1,454.34,0.000036,2.841490,9573.626
MISC_3,224,768,768,1,1146.01,0.000231,12.133130,22038.931
MISC_3,512,96,512,1,650.93,0.000077,6.283860,17223.112
MISC_3,512,128,896,1,973.67,0.000121,13.563930,26376.967
MISC_3,512,192,512,1,899.74,0.000112,12.609540,23745.631
MISC_3,512,512,96,1,954.55,0.000053,6.162120,17580.394
MISC_3,512,512,2048,1,1026.37,0.001046,20.927720,27890.373
MISC_3,512,896,4864,1,1299.83,0.003433,22.936980,26367.701
MISC_3,512,1536,6144,1,1347.56,0.007171,31.254300,33962.897
MISC_3,512,2048,2048,1,1362.34,0.003153,25.404990,29193.563
MISC_3,512,2048,8192,1,1342.68,0.012795,45.777140,38147.617
MISC_3,512,2560,2560,1,1306.32,0.005137,31.621420,35134.911
MISC_3,512,2560,10240,1,1337.84,0.020065,74.012340,40893.553
MISC_3,512,4864,896,1,1374.45,0.003247,27.309170,31026.046
MISC_3,512,6144,1536,1,1328.64,0.007273,33.314100,36215.491
MISC_3,512,8192,2048,1,1348.13,0.012743,45.470830,37892.358
MISC_3,512,10240,2560,1,1262.74,0.021258,72.272790,38038.311
