model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,102.76,0.000062,3.025000,4724.874
MISC_3,224,96,96,1,88.93,0.000046,1.334070,4708.050
MISC_3,224,224,64,1,160.83,0.000040,1.865050,5300.018
MISC_3,224,384,96,1,296.66,0.000056,2.304850,6523.714
MISC_3,224,768,768,1,573.09,0.000461,5.813660,9317.238
MISC_3,512,96,512,1,341.22,0.000148,4.272620,8718.607
MISC_3,512,128,896,1,521.38,0.000225,5.263770,10478.066
MISC_3,512,192,512,1,462.37,0.000218,5.458570,9568.477
MISC_3,512,512,96,1,534.15,0.000094,2.604330,7615.454
MISC_3,512,512,2048,1,531.92,0.002019,8.865060,11366.150
MISC_3,512,896,4864,1,639.51,0.006978,9.216520,10240.578
MISC_3,512,1536,6144,1,672.80,0.014363,17.158420,12806.081
MISC_3,512,2048,2048,1,668.34,0.006426,9.747460,10951.026
MISC_3,512,2048,8192,1,674.70,0.025463,30.673270,13942.395
MISC_3,512,2560,2560,1,663.96,0.010107,12.519590,12646.534
MISC_3,512,2560,10240,1,675.10,0.039763,50.047820,14807.601
MISC_3,512,4864,896,1,671.49,0.006646,10.228390,11364.878
MISC_3,512,6144,1536,1,667.92,0.014468,18.218900,13594.832
MISC_3,512,8192,2048,1,672.95,0.025529,30.773930,13800.910
MISC_3,512,10240,2560,1,633.20,0.042393,50.958400,14155.111
