model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,512,2560,2560,1,552.13,0.012154,15.966780,10937.911
MISC_3,512,512,96,1,473.12,0.000106,6.121450,10024.396
MISC_3,512,96,512,1,472.46,0.000107,4.830420,9401.164
MISC_3,512,10240,2560,1,556.25,0.048258,60.396320,13302.686
MISC_3,512,2560,10240,1,596.10,0.045032,43.817630,10482.581
