model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,112.09,0.000057,2.650560,3440.161
MISC_3,224,96,96,1,107.89,0.000038,1.622160,4238.725
MISC_3,224,224,64,1,173.60,0.000037,1.355970,4197.122
MISC_3,224,384,96,1,332.43,0.000050,1.993080,5156.760
MISC_3,224,768,768,1,513.35,0.000515,5.790760,7941.534
MISC_3,512,96,512,1,463.21,0.000109,2.141430,6647.704
MISC_3,512,128,896,1,488.04,0.000241,5.042280,7954.686
MISC_3,512,192,512,1,526.44,0.000191,5.269590,8487.776
MISC_3,512,512,96,1,467.74,0.000108,3.834850,7784.823
MISC_3,512,512,2048,1,539.14,0.001992,8.143580,8566.716
MISC_3,512,896,4864,1,564.78,0.007902,9.278730,8751.923
MISC_3,512,1536,6144,1,594.82,0.016246,19.504740,11618.769
MISC_3,512,2048,2048,1,576.63,0.007448,9.173230,8579.929
MISC_3,512,2048,8192,1,588.15,0.029210,28.624820,9870.722
MISC_3,512,2560,2560,1,552.25,0.012152,14.692920,11216.188
MISC_3,512,2560,10240,1,595.38,0.045086,43.336310,10125.628
MISC_3,512,4864,896,1,588.23,0.007587,11.574370,11138.049
MISC_3,512,6144,1536,1,603.39,0.016016,16.827210,10325.071
MISC_3,512,8192,2048,1,594.79,0.028884,26.970850,9530.219
MISC_3,512,10240,2560,1,553.83,0.048469,59.185170,12867.583
