model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,36.17,0.000178,2.107140,3250.499
MISC_3,224,96,96,1,25.36,0.000163,0.608030,3013.586
MISC_3,224,224,64,1,100.71,0.000064,0.840690,3158.033
MISC_3,224,384,96,1,381.96,0.000043,1.911150,5098.971
MISC_3,224,768,768,1,702.97,0.000376,9.268360,12042.278
MISC_3,512,96,512,1,610.94,0.000082,4.531260,10399.431
MISC_3,512,128,896,1,667.17,0.000176,6.703140,11830.540
MISC_3,512,192,512,1,645.47,0.000156,6.984210,12185.993
MISC_3,512,512,96,1,618.89,0.000081,3.611320,9451.331
MISC_3,512,512,2048,1,727.14,0.001477,12.199470,12970.953
MISC_3,512,896,4864,1,766.40,0.005823,14.277390,13221.119
MISC_3,512,1536,6144,1,560.08,0.017254,24.966220,14514.339
MISC_3,512,2048,2048,1,781.32,0.005497,12.804840,12673.246
MISC_3,512,2048,8192,1,737.71,0.023288,33.758950,14489.176
MISC_3,512,2560,2560,1,558.92,0.012007,18.347460,14230.356
MISC_3,512,2560,10240,1,745.31,0.036017,50.335750,14717.382
MISC_3,512,4864,896,1,583.72,0.007645,18.729180,14298.858
MISC_3,512,6144,1536,1,699.74,0.013810,19.966120,14163.710
MISC_3,512,8192,2048,1,765.69,0.022437,32.354870,14379.596
MISC_3,512,10240,2560,1,494.47,0.054288,75.356590,15071.202
