model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,93.30,0.000069,2.302900,3792.319
MISC_3,224,96,96,1,132.00,0.000031,1.528520,4405.177
MISC_3,224,224,64,1,211.96,0.000030,2.066290,5228.314
MISC_3,224,384,96,1,391.42,0.000042,3.060770,6382.618
MISC_3,224,768,768,1,514.04,0.000514,7.041580,8489.140
MISC_3,512,96,512,1,464.79,0.000108,3.180380,7087.265
MISC_3,512,128,896,1,489.19,0.000240,5.486920,8195.956
MISC_3,512,192,512,1,527.67,0.000191,5.480540,8671.031
MISC_3,512,512,96,1,469.34,0.000107,5.442540,8366.526
MISC_3,512,512,2048,1,537.60,0.001997,7.500090,8618.088
MISC_3,512,896,4864,1,566.74,0.007874,9.109440,8843.437
MISC_3,512,1536,6144,1,598.10,0.016157,19.212880,11735.866
MISC_3,512,2048,2048,1,579.11,0.007416,9.167060,8485.771
MISC_3,512,2048,8192,1,586.34,0.029300,28.198250,9860.104
MISC_3,512,2560,2560,1,550.93,0.012181,14.573390,11129.465
MISC_3,512,2560,10240,1,596.26,0.045020,43.435120,10077.699
MISC_3,512,4864,896,1,587.61,0.007595,11.514990,11068.248
MISC_3,512,6144,1536,1,603.26,0.016019,16.666640,10225.861
MISC_3,512,8192,2048,1,594.40,0.028903,26.694940,9534.495
MISC_3,512,10240,2560,1,552.11,0.048620,59.050810,12809.550
