model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,165.98,0.000039,3.091790,4738.133
MISC_3,224,96,96,1,165.23,0.000025,2.590920,5875.050
MISC_3,224,224,64,1,227.90,0.000028,2.766140,6729.264
MISC_3,224,384,96,1,517.06,0.000032,4.521740,9043.480
MISC_3,224,768,768,1,702.69,0.000376,10.608220,12472.965
MISC_3,512,96,512,1,616.23,0.000082,4.620580,10858.706
MISC_3,512,128,896,1,677.83,0.000173,7.966140,12425.519
MISC_3,512,192,512,1,618.87,0.000163,9.261370,13009.320
MISC_3,512,512,96,1,620.30,0.000081,3.968760,9571.577
MISC_3,512,512,2048,1,749.65,0.001432,11.946560,12842.113
MISC_3,512,896,4864,1,770.33,0.005793,12.869700,13134.414
MISC_3,512,1536,6144,1,572.01,0.016894,24.839070,14440.819
MISC_3,512,2048,2048,1,785.40,0.005469,12.826920,12722.541
MISC_3,512,2048,8192,1,741.77,0.023161,33.031540,14361.976
MISC_3,512,2560,2560,1,567.82,0.011819,17.980780,14045.967
MISC_3,512,2560,10240,1,761.79,0.035237,50.324880,14671.928
MISC_3,512,4864,896,1,588.99,0.007577,18.619520,14211.040
MISC_3,512,6144,1536,1,710.12,0.013609,20.025760,14104.632
MISC_3,512,8192,2048,1,768.74,0.022348,32.343360,14374.806
MISC_3,512,10240,2560,1,501.06,0.053574,74.229870,15056.841
