model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,119.28,0.000054,2.552790,3583.914
MISC_3,224,96,96,1,116.66,0.000035,2.059310,4679.383
MISC_3,224,224,64,1,204.56,0.000031,2.367640,5514.298
MISC_3,224,384,96,1,384.79,0.000043,2.576880,7066.523
MISC_3,224,768,768,1,703.20,0.000376,8.747360,11680.523
MISC_3,512,96,512,1,580.94,0.000087,3.682560,9892.825
MISC_3,512,128,896,1,655.06,0.000179,7.903110,12187.601
MISC_3,512,192,512,1,703.41,0.000143,7.476630,12297.427
MISC_3,512,512,96,1,620.80,0.000081,5.550240,11212.732
MISC_3,512,512,2048,1,740.33,0.001450,12.081140,12978.649
MISC_3,512,896,4864,1,772.22,0.005779,13.626520,13101.537
MISC_3,512,1536,6144,1,567.39,0.017032,25.104630,14511.144
MISC_3,512,2048,2048,1,779.81,0.005508,12.792120,12552.108
MISC_3,512,2048,8192,1,737.23,0.023303,33.597420,14481.401
MISC_3,512,2560,2560,1,571.89,0.011735,18.273240,14056.037
MISC_3,512,2560,10240,1,756.95,0.035463,50.646160,14723.242
MISC_3,512,4864,896,1,588.86,0.007579,18.652630,14238.141
MISC_3,512,6144,1536,1,692.84,0.013948,19.804020,14043.460
MISC_3,512,8192,2048,1,769.11,0.022337,32.220460,14319.507
MISC_3,512,10240,2560,1,498.51,0.053848,74.815540,15053.260
