model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,130.12,0.000049,3.022670,4425.916
MISC_3,224,96,96,1,118.64,0.000035,1.648750,4806.451
MISC_3,224,224,64,1,203.23,0.000032,2.189740,5713.082
MISC_3,224,384,96,1,400.55,0.000041,2.578400,6507.693
MISC_3,224,768,768,1,705.83,0.000374,10.113900,12802.372
MISC_3,512,96,512,1,617.28,0.000082,3.750250,10060.814
MISC_3,512,128,896,1,680.52,0.000173,7.521960,12250.653
MISC_3,512,192,512,1,710.90,0.000142,8.459020,13517.893
MISC_3,512,512,96,1,633.00,0.000080,6.440090,11759.404
MISC_3,512,512,2048,1,755.61,0.001421,12.380240,13761.210
MISC_3,512,896,4864,1,779.35,0.005726,14.357300,13805.096
MISC_3,512,1536,6144,1,773.68,0.012491,24.033490,17935.108
MISC_3,512,2048,2048,1,774.25,0.005547,13.448210,13192.497
MISC_3,512,2048,8192,1,822.94,0.020876,34.120940,16020.881
MISC_3,512,2560,2560,1,740.30,0.009065,17.589730,16591.533
MISC_3,512,2560,10240,1,821.61,0.032672,50.512280,15985.649
MISC_3,512,4864,896,1,769.19,0.005802,18.573780,17526.704
MISC_3,512,6144,1536,1,831.40,0.011623,19.770240,15807.162
MISC_3,512,8192,2048,1,825.48,0.020812,32.650110,15546.773
MISC_3,512,10240,2560,1,699.88,0.038355,71.616940,19461.273
