model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,162.41,0.000040,2.471900,4308.233
MISC_3,224,96,96,1,142.30,0.000029,1.180530,4722.120
MISC_3,224,224,64,1,269.68,0.000024,3.167640,7171.197
MISC_3,224,384,96,1,489.28,0.000034,4.507690,9733.913
MISC_3,224,768,768,1,705.90,0.000374,10.886910,12974.128
MISC_3,512,96,512,1,621.35,0.000081,3.962080,10631.327
MISC_3,512,128,896,1,678.61,0.000173,8.691490,13142.412
MISC_3,512,192,512,1,705.06,0.000143,9.020120,13747.415
MISC_3,512,512,96,1,632.63,0.000080,7.646800,12926.560
MISC_3,512,512,2048,1,752.41,0.001427,12.818810,13620.783
MISC_3,512,896,4864,1,776.93,0.005744,14.171330,13756.706
MISC_3,512,1536,6144,1,775.55,0.012460,24.291610,17858.540
MISC_3,512,2048,2048,1,782.25,0.005491,13.500580,13112.664
MISC_3,512,2048,8192,1,820.89,0.020928,33.296240,15778.694
MISC_3,512,2560,2560,1,741.64,0.009049,17.916980,16590.045
MISC_3,512,2560,10240,1,820.93,0.032699,51.074230,15862.086
MISC_3,512,4864,896,1,769.02,0.005803,18.866810,17470.202
MISC_3,512,6144,1536,1,832.22,0.011612,20.250100,15818.872
MISC_3,512,8192,2048,1,819.54,0.020963,32.167680,15244.633
MISC_3,512,10240,2560,1,702.27,0.038224,71.785230,19509.508
