model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,512,2560,2560,1,1153.55,0.005818,25.981630,25448.113
MISC_3,512,512,96,1,912.79,0.000055,4.711640,15547.300
MISC_3,512,96,512,1,574.01,0.000088,4.892630,14589.340
MISC_3,512,10240,2560,1,1110.01,0.024183,64.496940,30141.094
MISC_3,512,2560,10240,1,1184.52,0.022662,66.074870,32712.039
